Network,Station,Latitude,Longitude,Elevation
9D,1402,34.222717,-106.681824,1705.5
9D,1403,34.310078,-106.693909,1651.3
9D,1404,34.310055,-106.693893,1650.3
9D,1405,34.217728,-106.772621,1568.8
9D,1406,34.234821,-106.757294,1607.0
9D,1407,34.310066,-106.693901,1649.6
9D,1408,34.280888,-106.678612,1689.3
9D,1409,34.217758,-106.772614,1568.9
9D,1410,34.310074,-106.693886,1650.0
9D,1411,34.217697,-106.772614,1568.6
9D,1412,34.217697,-106.772575,1568.3
9D,1413,34.217728,-106.772568,1568.7
9D,1414,34.217754,-106.772583,1569.2
9D,1415,34.217201,-106.717339,1666.4
9D,1416,34.248741,-106.742867,1608.8
9D,1417,34.245869,-106.745461,1615.0
9D,1418,34.225563,-106.680183,1700.2
9D,1419,34.254368,-106.739059,1609.2
9D,1420,34.384838,-106.911674,1534.3
9D,1421,34.254585,-106.983887,1610.3
9D,1422,34.296959,-106.576508,1868.7
9D,1423,34.405228,-106.999031,1684.5
9D,1424,34.310707,-106.571014,1901.6
9D,1425,34.295067,-106.576912,1869.0
9D,1426,34.407825,-106.987915,1683.9
9D,1427,34.293102,-106.578041,1863.9
9D,1428,34.291332,-106.580627,1866.6
9D,1429,34.292618,-106.579102,1859.7
9D,1430,34.293999,-106.57737,1867.4
9D,1431,34.395699,-107.007919,1689.5
9D,1432,34.298222,-106.57637,1870.6
9D,1433,34.300117,-106.575943,1874.7
9D,1434,34.301186,-106.575104,1878.4
9D,1435,34.302677,-106.574631,1881.9
9D,1436,34.304207,-106.574532,1888.3
9D,1437,34.305904,-106.573853,1887.1
9D,1438,34.307426,-106.572861,1895.9
9D,1439,34.309326,-106.571739,1902.5
9D,1440,34.405197,-106.996521,1680.5
9D,1441,34.312855,-106.569412,1905.9
9D,1442,34.31435,-106.568375,1913.7
9D,1443,34.315735,-106.566818,1912.5
9D,1444,34.317127,-106.564949,1917.4
9D,1445,34.318691,-106.564079,1921.2
9D,1446,34.321156,-106.563736,1928.5
9D,1447,34.322765,-106.561737,1937.3
9D,1448,34.320236,-106.563942,1923.7
9D,1449,34.324444,-106.560425,1942.5
9D,1450,34.326557,-106.560379,1944.7
9D,1451,34.32761,-106.558426,1952.6
9D,1452,34.329792,-106.557426,1961.4
9D,1453,34.332096,-106.557259,1957.7
9D,1454,34.334286,-106.556648,1963.0
9D,1455,34.337112,-106.556458,1966.2
9D,1456,34.339687,-106.555779,1975.4
9D,1457,34.342243,-106.554527,1981.4
9D,1458,34.34465,-106.553185,1992.6
9D,1459,34.347115,-106.55249,1999.6
9D,1460,34.349438,-106.551918,2008.9
9D,1461,34.352348,-106.551834,2013.5
9D,1462,34.355103,-106.550018,2028.7
9D,1463,34.357635,-106.549339,2044.2
9D,1464,34.360104,-106.548477,2029.2
9D,1465,34.361477,-106.546814,2022.1
9D,1466,34.362469,-106.54464,2005.4
9D,1467,34.363518,-106.542191,1992.9
9D,1468,34.364483,-106.539536,1980.5
9D,1469,34.36462,-106.536674,1968.2
9D,1470,34.364651,-106.534065,1958.1
9D,1471,34.40258,-106.585571,1667.6
9D,1472,34.366325,-106.532593,1954.8
9D,1473,34.367634,-106.532906,1957.1
9D,1474,34.40358,-106.588303,1657.4
9D,1475,34.370628,-106.533318,1966.4
9D,1476,34.37241,-106.533409,1972.6
9D,1477,34.374107,-106.534004,1984.6
9D,1478,34.397373,-107.005981,1676.2
9D,1479,34.376621,-106.533173,1998.0
9D,1480,34.3787,-106.532814,1983.7
9D,1481,34.380325,-106.531647,1964.0
9D,1482,34.381859,-106.531639,1941.6
9D,1483,34.383812,-106.530571,1929.2
9D,1484,34.385426,-106.528709,1917.9
9D,1485,34.386166,-106.525238,1904.8
9D,1486,34.387672,-106.524231,1906.0
9D,1487,34.38974,-106.523605,1896.5
9D,1488,34.391758,-106.523293,1887.2
9D,1489,34.393707,-106.522438,1874.9
9D,1490,34.395897,-106.521706,1863.3
9D,1491,34.398281,-106.521561,1855.9
9D,1492,34.400452,-106.521996,1847.2
9D,1493,34.402431,-106.521355,1838.0
9D,1494,34.405701,-106.520821,1823.2
9D,1495,34.407639,-106.521751,1814.3
9D,1496,34.408733,-106.523003,1809.9
9D,1497,34.410824,-106.52359,1802.6
9D,1498,34.399597,-106.578873,1697.9
9D,1499,34.412136,-106.522842,1796.0
9D,1500,34.414047,-106.522575,1786.4
9D,1501,34.415615,-106.521561,1780.9
9D,1502,34.417236,-106.520142,1773.6
9D,1503,34.418243,-106.519547,1766.2
9D,1504,34.4002,-106.580734,1690.0
9D,1505,34.398907,-106.576485,1708.4
9D,1506,34.222218,-106.797928,1548.8
9D,1507,34.298267,-106.764511,1535.8
9D,1508,34.245567,-106.787552,1572.6
9D,1509,34.332973,-106.631294,1673.5
9D,1510,34.271236,-106.619911,1804.7
9D,1511,34.319221,-106.643631,1687.4
9D,1512,34.316006,-106.646523,1692.0
9D,1513,34.296139,-106.750107,1550.7
9D,1514,34.3041,-106.776123,1532.1
9D,1515,34.27182,-106.754639,1567.2
9D,1516,34.409374,-106.977806,1646.4
9D,1517,34.311691,-106.712578,1591.9
9D,1518,34.302132,-106.716599,1607.7
9D,1519,34.306999,-106.716255,1614.8
9D,1520,34.30196,-106.772018,1535.5
9D,1521,34.291676,-106.719505,1596.6
9D,1522,34.257282,-106.737068,1599.2
9D,1523,34.282532,-106.727898,1590.6
9D,1524,34.221001,-106.686913,1696.0
9D,1525,34.218262,-106.713318,1674.2
9D,1526,34.237801,-106.753563,1614.5
9D,1527,34.226791,-106.79599,1550.3
9D,1528,34.216454,-106.720688,1657.0
9D,1529,34.262505,-106.733566,1598.2
9D,1530,34.406898,-106.989754,1667.5
9D,1531,34.339741,-106.743538,1598.5
9D,1532,34.338379,-106.74041,1601.7
9D,1533,34.336575,-106.736038,1606.8
9D,1534,34.335274,-106.732079,1610.5
9D,1535,34.333569,-106.728279,1614.2
9D,1536,34.331787,-106.724525,1617.7
9D,1537,34.330448,-106.721313,1619.2
9D,1538,34.300438,-106.766899,1535.2
9D,1539,34.328575,-106.717201,1623.4
9D,1540,34.327175,-106.713699,1624.7
9D,1541,34.37146,-106.68116,1589.3
9D,1542,34.375343,-106.679146,1586.9
9D,1543,34.360554,-106.686966,1599.0
9D,1544,34.343628,-106.695831,1616.0
9D,1545,34.339558,-106.697922,1618.4
9D,1546,34.345978,-106.694557,1613.8
9D,1547,34.365978,-106.684059,1593.5
9D,1548,34.350513,-106.692139,1610.9
9D,1549,34.355614,-106.689499,1604.7
9D,1550,34.295799,-106.743652,1558.6
9D,1551,34.337467,-106.699059,1620.2
9D,1554,34.073513,-106.920662,1439.1
9D,1555,34.073509,-106.920685,1439.5
9D,1556,34.073524,-106.92067,1437.7
9D,1557,34.073524,-106.92067,1438.7
9D,1558,34.254597,-106.983871,1611.4
9D,1559,34.357498,-106.988937,1564.3
9D,1560,34.254597,-106.983849,1610.9
9D,1561,34.254566,-106.983841,1610.2
9D,1562,34.384827,-106.911667,1534.2
9D,1563,34.384811,-106.91169,1533.7
9D,1564,34.386154,-106.910065,1531.1
9D,1565,34.384239,-106.911987,1532.5
9D,1566,34.384808,-106.911682,1534.0
9D,1567,34.400002,-106.867348,1462.2
9D,1568,34.404297,-106.864738,1455.8
9D,1569,34.398125,-106.870949,1465.4
9D,1570,34.404881,-106.867599,1457.3
9D,1571,34.405293,-106.869545,1459.0
9D,1572,34.40567,-106.871513,1460.1
9D,1573,34.406078,-106.873405,1461.6
9D,1574,34.406452,-106.87529,1465.0
9D,1575,34.406803,-106.877121,1465.8
9D,1576,34.407188,-106.878838,1469.6
9D,1577,34.407528,-106.880737,1475.2
9D,1578,34.393303,-106.882088,1495.6
9D,1579,34.407967,-106.88295,1474.9
9D,1580,34.408298,-106.884468,1477.1
9D,1581,34.408596,-106.885986,1477.9
9D,1582,34.409008,-106.887718,1478.8
9D,1583,34.409355,-106.889526,1480.1
9D,1584,34.409775,-106.891502,1486.8
9D,1585,34.40979,-106.893288,1490.1
9D,1586,34.416267,-106.992241,1685.6
9D,1587,34.40921,-106.895004,1493.6
9D,1588,34.407997,-106.896576,1496.0
9D,1589,34.40699,-106.89817,1499.3
9D,1590,34.38483,-106.895378,1514.0
9D,1591,34.40694,-106.900787,1502.7
9D,1592,34.406528,-106.902512,1508.7
9D,1593,34.411324,-106.991814,1670.9
9D,1594,34.40572,-106.905128,1508.9
9D,1595,34.38298,-106.896103,1515.6
9D,1596,34.40522,-106.907135,1511.7
9D,1597,34.40485,-106.908661,1513.7
9D,1598,34.418488,-107.002838,1721.0
9D,1599,34.404778,-106.91169,1518.2
9D,1600,34.404774,-106.914055,1520.9
9D,1601,34.418324,-107.000511,1713.5
9D,1602,34.404854,-106.916939,1524.9
9D,1603,34.405197,-106.918739,1529.5
9D,1604,34.404968,-106.920876,1533.6
9D,1605,34.399548,-107.003716,1672.7
9D,1606,34.405598,-106.923775,1537.8
9D,1607,34.406902,-106.925858,1539.0
9D,1608,34.419285,-107.006607,1735.4
9D,1609,34.407505,-106.928764,1544.2
9D,1610,34.407921,-106.930878,1548.1
9D,1611,34.418026,-106.997948,1705.6
9D,1612,34.408657,-106.934364,1553.1
9D,1613,34.409279,-106.937347,1559.2
9D,1614,34.404442,-106.999657,1677.6
9D,1615,34.409889,-106.940231,1565.9
9D,1616,34.410374,-106.942574,1568.8
9D,1617,34.410923,-106.945274,1572.2
9D,1618,34.418999,-107.004494,1725.2
9D,1619,34.411373,-106.947395,1576.7
9D,1620,34.411652,-106.949715,1587.2
9D,1621,34.411831,-106.951866,1590.5
9D,1622,34.411942,-106.953766,1593.0
9D,1623,34.41143,-106.955727,1594.7
9D,1624,34.411125,-106.957542,1604.0
9D,1625,34.411129,-106.959511,1609.5
9D,1626,34.410831,-106.961838,1614.0
9D,1627,34.411282,-106.964348,1618.3
9D,1628,34.411179,-106.967087,1633.6
9D,1629,34.411842,-106.970062,1642.2
9D,1630,34.411671,-106.971512,1639.4
9D,1631,34.41016,-106.973145,1638.4
9D,1632,34.396931,-107.006424,1677.1
9D,1633,34.417847,-106.995811,1698.9
9D,1634,34.409782,-106.975555,1640.6
9D,1635,34.411858,-106.968605,1632.2
9D,1636,34.362587,-106.900444,1524.7
9D,1637,34.362835,-106.964783,1572.7
9D,1638,34.353653,-106.990677,1555.2
9D,1639,34.364109,-106.963875,1573.3
9D,1640,34.36499,-106.963112,1572.3
9D,1641,34.400616,-107.002693,1671.2
9D,1642,34.366219,-106.961975,1578.6
9D,1643,34.348316,-106.992599,1552.5
9D,1644,34.367592,-106.96125,1583.6
9D,1645,34.341961,-106.899376,1522.5
9D,1646,34.368832,-106.960327,1587.1
9D,1647,34.355835,-106.989746,1561.7
9D,1648,34.369061,-106.957947,1590.4
9D,1649,34.408962,-106.994141,1672.4
9D,1650,34.369579,-106.955208,1585.2
9D,1651,34.346973,-106.993385,1544.0
9D,1652,34.370373,-106.952927,1582.3
9D,1653,34.370766,-106.951439,1579.9
9D,1654,34.365688,-106.900162,1526.2
9D,1655,34.371449,-106.948875,1573.2
9D,1656,34.358315,-106.987656,1567.9
9D,1657,34.372005,-106.946564,1568.4
9D,1658,34.372513,-106.945084,1565.4
9D,1659,34.40276,-107.000458,1673.2
9D,1660,34.373341,-106.942688,1561.6
9D,1661,34.347252,-106.993149,1545.5
9D,1662,34.374554,-106.940048,1557.1
9D,1663,34.348946,-106.992424,1549.1
9D,1664,34.376122,-106.936798,1552.8
9D,1665,34.377159,-106.934563,1549.2
9D,1666,34.377926,-106.932724,1548.2
9D,1667,34.378761,-106.930908,1546.8
9D,1668,34.379627,-106.929192,1542.4
9D,1669,34.380287,-106.927612,1542.0
9D,1670,34.380962,-106.92569,1540.3
9D,1671,34.381241,-106.923439,1537.0
9D,1672,34.381523,-106.921379,1533.3
9D,1673,34.38166,-106.919144,1530.0
9D,1674,34.382214,-106.917068,1528.4
9D,1675,34.382446,-106.914742,1532.8
9D,1676,34.383461,-106.912796,1533.6
9D,1677,34.384846,-106.911674,1532.1
9D,1678,34.385532,-106.91082,1531.2
9D,1679,34.387215,-106.908485,1528.9
9D,1680,34.388443,-106.906433,1521.0
9D,1681,34.389477,-106.904602,1516.1
9D,1682,34.390778,-106.90239,1517.8
9D,1683,34.392021,-106.900612,1515.4
9D,1684,34.393375,-106.898834,1511.6
9D,1685,34.394547,-106.897232,1509.4
9D,1686,34.39587,-106.895355,1507.7
9D,1687,34.397171,-106.893417,1505.6
9D,1688,34.398209,-106.891121,1499.9
9D,1689,34.399246,-106.88929,1495.6
9D,1690,34.400787,-106.888344,1494.5
9D,1691,34.402073,-106.88739,1496.9
9D,1692,34.403412,-106.886475,1493.4
9D,1693,34.404682,-106.885658,1488.8
9D,1694,34.405682,-106.884094,1482.0
9D,1695,34.406425,-106.882797,1477.6
9D,1696,34.262127,-107.058876,1787.5
9D,1697,34.26368,-107.058647,1784.6
9D,1698,34.347843,-106.99279,1546.3
9D,1699,34.261803,-107.05674,1776.2
9D,1701,34.26099,-107.052483,1757.7
9D,1702,34.26009,-107.050751,1757.0
9D,1703,34.259914,-107.049049,1767.0
9D,1704,34.260479,-107.048126,1769.1
9D,1705,34.261059,-107.046227,1755.5
9D,1706,34.261723,-107.04483,1756.6
9D,1707,34.26276,-107.044411,1742.2
9D,1708,34.263275,-107.043076,1735.0
9D,1709,34.263683,-107.041496,1730.4
9D,1710,34.264282,-107.039948,1726.8
9D,1711,34.26432,-107.038231,1719.9
9D,1712,34.264427,-107.036575,1715.3
9D,1714,34.264297,-107.033379,1710.2
9D,1715,34.35989,-106.984062,1580.0
9D,1716,34.263203,-107.031258,1712.1
9D,1717,34.346024,-106.994453,1542.5
9D,1718,34.262272,-107.029984,1717.1
9D,1719,34.261223,-107.028427,1726.5
9D,1720,34.261066,-107.026978,1736.7
9D,1721,34.260612,-107.025856,1744.0
9D,1722,34.259941,-107.024734,1750.9
9D,1723,34.359531,-106.984856,1575.0
9D,1724,34.258911,-107.023529,1740.2
9D,1725,34.257977,-107.023102,1737.0
9D,1726,34.256893,-107.022522,1728.6
9D,1727,34.352325,-106.990799,1552.5
9D,1728,34.25526,-107.022049,1723.5
9D,1729,34.358932,-106.985809,1571.0
9D,1730,34.254227,-107.02195,1718.6
9D,1731,34.252411,-107.021942,1710.2
9D,1732,34.251411,-107.022003,1705.9
9D,1733,34.249962,-107.021996,1699.2
9D,1734,34.412884,-106.990913,1674.6
9D,1735,34.357983,-106.988319,1566.3
9D,1736,34.248547,-107.021179,1692.7
9D,1737,34.247227,-107.020935,1686.4
9D,1738,34.248199,-107.020004,1693.2
9D,1739,34.351498,-106.991074,1550.7
9D,1740,34.248821,-107.019173,1698.7
9D,1741,34.248772,-107.018242,1702.2
9D,1742,34.248737,-107.017441,1705.1
9D,1743,34.248383,-107.017227,1709.2
9D,1744,34.249119,-107.01619,1714.4
9D,1746,34.251507,-107.013504,1714.8
9D,1747,34.25317,-107.012878,1706.8
9D,1748,34.254837,-107.011612,1699.9
9D,1749,34.354321,-106.990295,1555.8
9D,1750,34.285984,-107.06382,1754.0
9D,1751,34.287609,-107.063316,1753.6
9D,1752,34.289703,-107.063782,1750.9
9D,1753,34.291073,-107.063004,1750.7
9D,1754,34.292812,-107.062462,1751.2
9D,1755,34.294262,-107.06147,1753.0
9D,1756,34.295647,-107.060501,1754.0
9D,1757,34.29678,-107.059982,1754.3
9D,1758,34.297997,-107.059639,1755.2
9D,1759,34.299103,-107.059387,1757.2
9D,1760,34.405933,-106.521103,1825.1
9D,1762,34.401531,-106.583115,1679.2
9D,1763,34.405708,-106.520844,1825.4
9D,1764,34.405697,-106.520805,1824.2
9D,1765,34.405689,-106.520828,1825.4
9D,1766,34.405689,-106.520828,1823.3
9D,1767,34.361008,-106.965065,1566.0
9D,1768,34.353134,-106.990814,1554.9
9D,1769,34.359283,-106.965858,1564.6
9D,1770,34.394642,-106.879044,1487.0
9D,1771,34.359718,-106.968216,1570.1
9D,1772,34.351048,-106.991318,1551.2
9D,1773,34.360397,-106.970467,1570.9
9D,1774,34.373051,-106.898903,1528.8
9D,1775,34.360664,-106.973167,1578.2
9D,1776,34.354961,-106.990059,1558.2
9D,1777,34.360771,-106.975243,1584.1
9D,1778,34.356396,-106.989525,1559.6
9D,1779,34.360683,-106.977135,1589.0
9D,1780,34.360107,-106.981697,1588.7
9D,1781,34.360748,-106.979156,1592.1
9D,1782,34.361012,-106.980247,1595.1
9D,1783,34.21114,-106.754631,1594.1
9D,1784,34.227646,-106.680458,1707.4
9D,1785,34.210289,-106.748878,1599.6
9D,1786,34.210079,-106.74617,1603.5
9D,1787,34.223049,-106.700394,1729.8
9D,1788,34.210743,-106.741035,1617.6
9D,1789,34.211422,-106.737755,1624.8
9D,1790,34.235157,-106.677788,1707.1
9D,1791,34.213467,-106.733147,1637.1
9D,1792,34.221115,-106.692604,1685.7
9D,1793,34.215504,-106.730545,1644.5
9D,1794,34.217709,-106.727058,1654.8
9D,1795,34.222168,-106.68425,1697.1
9D,1796,34.215305,-106.724464,1647.5
9D,1797,34.358906,-106.900642,1525.0
9D,1798,34.357212,-106.901009,1524.8
9D,1799,34.355286,-106.901024,1525.4
9D,1800,34.353294,-106.900665,1526.0
9D,1801,34.351463,-106.900543,1525.7
9D,1802,34.349861,-106.900452,1527.6
9D,1803,34.348518,-106.90033,1528.9
9D,1804,34.346821,-106.900124,1528.8
9D,1805,34.345097,-106.899879,1527.5
9D,1806,34.343708,-106.899651,1525.4
9D,1807,34.360779,-106.900574,1524.3
9D,1808,34.3643,-106.900307,1524.1
9D,1809,34.36718,-106.900002,1536.3
9D,1810,34.37014,-106.899506,1526.8
9D,1811,34.371529,-106.899208,1527.0
AE,319A,31.3757,-109.280899,1187.0
AE,DUN6,32.553799,-109.090103,1259.0
AE,HANNA,33.63636,-109.32029,2796.0
AE,W18A,35.1181,-109.7357,1750.0
AE,X18A,34.529301,-109.950104,1751.0
AR,319A,31.3757,-109.280899,1187.0
AR,X18A,34.529301,-109.950104,1751.0
C0,S22A,37.74612,-106.82926,2623.7
C0,T25A,37.1388,-104.41087,2012.9
DW,ALQ,34.942501,-106.457497,1849.0
EM,MBB04,34.029999,-106.852997,1436.4
EP,KIDD,31.771774,-106.506378,1162.5
GM,NMP01,32.20476,-103.86048,1048.0
GM,NMP02,32.08945,-103.86139,996.0
GM,NMP11,32.00668,-103.93155,882.72
GM,NMP12,32.12755,-103.95259,951.75
GM,NMP23,32.167112,-103.802893,1049.63
GM,NMP25,32.33787,-103.860072,983.0
GM,NMP31,32.03585,-103.73465,972.79
GM,NMP34,32.26384,-103.68967,1121.66
GM,NMP35,32.352297,-103.724675,1070.98
GM,NMP41,32.00509,-103.596471,959.89
GM,NMP44,32.20474,-103.61883,1085.68
GM,NMP45,32.33145,-103.58198,1127.38
GM,NMP51,32.00448,-103.421678,974.99
GM,NMP53,32.17626,-103.431176,1037.35
GS,005,34.942402,-106.457901,1850.0
GS,006,34.942402,-106.457901,1850.0
GS,007,34.942402,-106.457901,1850.0
GS,ALQ1,34.94239,-106.4579,1854.3
GS,ALQ2,34.94239,-106.4579,1854.3
GS,ALQR,34.942378,-106.458039,1849.0
GS,ANMX,34.945902,-106.457038,1839.87
GS,ASA1,34.946267,-106.46005,1829.44
GS,ASA2,34.945117,-106.46005,1830.04
GS,ASA3,34.945489,-106.46176,1818.98
GS,ASA4,34.9423,-106.4626,1820.37
GS,ASA5,34.9433,-106.45973,1834.98
GS,ASA6,34.943617,-106.456733,1839.59
GS,ASL8,34.94532,-106.45657,1842.11
GS,ASL9,34.94532,-106.45658,1820.0
GS,BH0,37.045502,-104.801804,2190.0
GS,BH17,34.945904,-106.457044,1836.45
GS,BUR,37.183701,-104.699997,2067.0
GS,BUR2,37.183201,-104.699097,2040.0
GS,CKD,37.144199,-104.621902,1934.0
GS,DK0,37.0923,-104.616699,1960.0
GS,ENG4,34.942402,-106.457901,1850.0
GS,ENG5,34.942402,-106.457901,1850.0
GS,ENG5,34.942402,-106.457901,1850.0
GS,ENG7,34.942402,-106.457901,1850.0
GS,FBA1,34.942402,-106.457901,1850.0
GS,FBA1,34.942402,-106.457901,1850.0
GS,FBA2,34.942402,-106.457901,1850.0
GS,FBA2,34.942402,-106.457901,1850.0
GS,FBA2,34.942402,-106.457901,1850.0
GS,FBA2,34.942402,-106.457901,1850.0
GS,FBA2,34.942402,-106.457901,1850.0
GS,FBA2,34.942402,-106.457901,1850.0
GS,GSN3,34.94239,-106.4578,1859.08
GS,GTO,34.942402,-106.457901,1850.0
GS,HGTCO,37.107498,-104.674011,2109.0
GS,LVTCO,37.04615,-104.809708,2174.0
GS,MDD,37.133801,-104.699303,2014.0
GS,MHTCO,37.128662,-104.690956,1978.0
GS,PD0,37.1875,-104.578003,2017.0
GS,PIT,34.945923,-106.457067,1836.43
GS,PT0,37.0243,-104.569702,2310.4
GS,R141,34.9459,-106.457199,1850.0
GS,R5D4,34.9459,-106.457199,1850.0
GS,RB7A,34.9459,-106.457199,1850.0
GS,RG0,37.091801,-104.679703,2039.0
GS,TK0,37.175999,-104.798302,2123.0
GS,TLD,37.150398,-104.556396,1921.0
GS,TST1,34.942501,-106.457497,1849.0
GS,TST2,34.942402,-106.457901,1850.0
GS,TST3,34.942402,-106.457901,1850.0
GS,TST4,34.942402,-106.457901,1850.0
GS,TST4,34.942402,-106.457901,1850.0
GS,TST4,34.94247,-106.45807,1854.3
GS,TST5,34.942402,-106.457901,1850.0
GS,TST5,34.942402,-106.457901,1850.0
GS,TST5,34.942402,-106.457901,1850.0
GS,TST5,34.94247,-106.45807,1854.3
GS,TST6,34.942402,-106.457901,1850.0
GS,TST6,34.942402,-106.457901,1850.0
GS,TST6,34.94247,-106.45807,1854.3
GS,TSVA,36.56765,-105.446517,3000.0
GS,VAL,37.122398,-104.710701,1978.0
GS,VEA1,34.944075,-106.459644,1844.86
GS,VEA2,34.944083,-106.459661,1843.86
GS,VZ0,37.128502,-104.690697,1981.0
GS,VZE,37.119999,-104.669998,1945.0
GS,VZK,37.128502,-104.691002,1962.0
GS,XTOCO,37.12402,-104.770821,2042.0
GT,ASLX,34.94603,-106.45784,1744.0
HG,ALQ,34.942501,-106.457497,1859.0
II,IASL,34.946201,-106.456703,1740.0
IU,ANMO,34.9459,-106.4572,1850.0
IU,ANMO,34.9502,-106.4602,1839.0
IU,ANMO,34.94591,-106.4572,1820.0
N4,MSTX,33.9696,-102.7724,1167.0
NP,2302,35.08269,-106.6564,1509.0
NP,2303,35.08518,-106.69078,1509.0
NP,2308,35.12314,-106.67479,1513.0
NP,2309,35.10743,-106.58909,1583.0
NP,2310,35.08303,-106.62238,1573.0
NP,2311,35.61682,-106.32128,1618.0
NP,2312,36.23796,-106.42648,1852.0
NP,2313,37.14316,-104.55215,1905.0
NP,2315,35.05468,-106.58208,1628.0
NP,2317,35.08255,-106.70148,1526.0
NQ,SANFE,35.619492,-105.887451,2483.0
NX,WTX28,32.878676,-103.376924,1173.0
NX,WTX29,32.741397,-103.556767,1207.0
NX,WTX35,31.90285,-104.144532,994.0
NX,WTX36,31.95689,-104.122493,952.0
PI,EP00,34.0733,-106.9193,1430.0
PI,EP01,34.073299,-106.919296,1430.0
PI,EP01,34.073299,-106.919296,1430.0
PI,EP01,34.073299,-106.919296,1430.0
PI,EP01,34.073299,-106.919296,1430.0
PI,EP01,34.073299,-106.919296,1430.0
PI,EP01,34.073299,-106.919296,1430.0
PI,EP01,34.0733,-106.9193,1430.0
PI,EP01,34.0733,-106.9193,1430.0
PI,EP01,34.0733,-106.9193,1430.0
PI,EP01,34.0733,-106.9193,1430.0
PI,EP01,34.0733,-106.9193,1430.0
PI,EP01,34.0733,-106.9193,1430.0
PI,EP02,34.073299,-106.919296,1430.0
PI,EP02,34.073299,-106.919296,1430.0
PI,EP02,34.073299,-106.919296,1430.0
PI,EP02,34.073299,-106.919296,1430.0
PI,EP02,34.073299,-106.919296,1430.0
PI,EP02,34.073299,-106.919296,1430.0
PI,EP02,34.073299,-106.919296,1430.0
PI,EP02,34.0733,-106.9193,1430.0
PI,EP02,34.0733,-106.9193,1430.0
PI,EP02,34.0733,-106.9193,1430.0
PI,EP02,34.0733,-106.9193,1430.0
PI,EP02,34.0733,-106.9193,1430.0
PI,EP02,34.0733,-106.9193,1430.0
PI,EP03,34.073299,-106.919296,1430.0
PI,EP03,34.073299,-106.919296,1430.0
PI,EP03,34.073299,-106.919296,1430.0
PI,EP03,34.073299,-106.919296,1430.0
PI,EP03,34.073299,-106.919296,1430.0
PI,EP03,34.073299,-106.919296,1430.0
PI,EP03,34.0733,-106.9193,1430.0
PI,EP03,34.0733,-106.9193,1430.0
PI,EP03,34.0733,-106.9193,1430.0
PI,EP03,34.0733,-106.9193,1430.0
PI,EP03,34.0733,-106.9193,1430.0
PI,EP03,34.0733,-106.9193,1430.0
PI,EP04,34.073299,-106.919296,1430.0
PI,EP04,34.073299,-106.919296,1430.0
PI,EP04,34.073299,-106.919296,1430.0
PI,EP04,34.073299,-106.919296,1430.0
PI,EP04,34.073299,-106.919296,1430.0
PI,EP04,34.073299,-106.919296,1430.0
PI,EP04,34.073299,-106.919296,1430.0
PI,EP04,34.0733,-106.9193,1430.0
PI,EP04,34.0733,-106.9193,1430.0
PI,EP04,34.0733,-106.9193,1430.0
PI,EP04,34.0733,-106.9193,1430.0
PI,EP04,34.0733,-106.9193,1430.0
PI,EP04,34.0733,-106.9193,1430.0
PI,NP00,34.0737,-106.918999,1430.0
